Date,anon_id,Group,Date_Depart,Depart,Date_Arrive,Arrive,Activity.Type,Time.Out,Total.Minutes,Precision
02/08/2018,P043,0,02/08/2018,17.42,02/08/2018,17.58,Foraging,0.16,16,Observed
10/08/2018,P043,0,10/08/2018,12.41,10/08/2018,13.48,Foraging,1.07,67,Observed
10/08/2018,P043,0,10/08/2018,14.31,10/08/2018,14.45,Foraging,0.14,14,Observed
17/08/2018,P043,0,17/08/2018,10.55,17/08/2018,11.29,Foraging,0.34,34,Observed
14/08/2018,P052,0,14/08/2018,10.08,14/08/2018,10.3,Foraging,0.22,22,Observed
19/08/2018,P052,0,19/08/2018,10.47,19/08/2018,11.19,Foraging,0.32,32,Observed
19/08/2018,P052,0,19/08/2018,12.21,19/08/2018,12.39,Not Foraging,0.18,18,Observed
26/07/2018,P037,0,26/07/2018,11.07,26/07/2018,11.19,Foraging,0.12,12,Observed
12/08/2018,P037,0,12/08/2018,14.57,12/08/2018,15.28,Not Foraging,0.31,31,Observed
10/08/2018,P063,0,10/08/2018,10.43,10/08/2018,11.03,Foraging,0.2,2,Observed
10/08/2018,P063,0,10/08/2018,6.57,10/08/2018,7.15,Foraging,0.18,18,Observed
26/08/2018,P063,0,26/08/2018,8.31,26/08/2018,8.5,Foraging,0.19,19,Observed
26/07/2018,P016,0,26/07/2018,14.18,26/07/2018,14.27,Foraging,0.09,9,Observed
30/08/2018,P016,0,30/08/2018,10.28,30/08/2018,10.39,Foraging,0.11,11,Observed
01/09/2018,P016,0,01/09/2018,9.09,01/09/2018,13.02,Foraging,3.53,233,Observed
19/08/2018,P028,0,19/08/2018,12.21,19/08/2018,12.39,Not Foraging,0.18,18,Observed
28/07/2018,P072,0,28/07/2018,16.13,28/07/2018,16.45,Not Foraging,0.32,32,Observed
09/08/2018,P072,0,09/08/2018,13.23,09/08/2018,14.04,Foraging,0.41,41,Observed
12/08/2018,P008,0,12/08/2018,14.57,12/08/2018,15.28,Not Foraging,0.31,31,Observed
24/07/2018,P027,0,24/07/2018,11.0,24/07/2018,11.28,Foraging,0.28,28,Observed
25/07/2018,P027,0,25/07/2018,7.58,25/07/2018,8.21,Foraging,0.23,23,Observed
04/08/2018,P027,0,04/08/2018,14.25,04/08/2018,14.4,Foraging,0.15,15,Observed
06/08/2018,P027,0,06/08/2018,9.28,06/08/2018,9.41,Foraging,0.13,13,Observed
09/08/2018,P027,0,09/08/2018,10.11,09/08/2018,10.24,Foraging,0.13,13,Observed
12/08/2018,P027,0,12/08/2018,17.37,12/08/2018,17.41,Foraging,0.04,4,Observed
13/08/2018,P027,0,13/08/2018,14.03,13/08/2018,15.04,Foraging,1.01,61,Observed
15/08/2018,P027,0,15/08/2018,7.58,15/08/2018,8.48,Foraging,0.5,5,Observed
16/08/2018,P027,0,16/08/2018,9.33,16/08/2018,10.07,Foraging,0.34,34,Observed
29/08/2018,P027,0,29/08/2018,9.1,29/08/2018,9.27,Foraging,0.17,17,Observed
01/09/2018,P027,0,01/09/2018,12.13,01/09/2018,12.37,Foraging,0.24,24,Observed
23/07/2018,P049,0,23/07/2018,6.15,23/07/2018,6.31,Foraging,0.16,16,Observed
23/07/2018,P049,0,23/07/2018,7.04,23/07/2018,7.16,Foraging,0.12,12,Observed
24/07/2018,P049,0,24/07/2018,6.21,24/07/2018,7.51,Foraging,1.3,63,Observed
24/07/2018,P049,0,24/07/2018,6.08,24/07/2018,6.19,Foraging,0.11,11,Observed
25/07/2018,P049,0,25/07/2018,7.47,25/07/2018,13.21,Foraging,5.34,334,Observed
26/07/2018,P049,0,26/07/2018,7.17,26/07/2018,10.18,Foraging,3.01,181,Observed
27/07/2018,P049,0,27/07/2018,7.23,27/07/2018,12.14,Foraging,4.51,291,Observed
27/07/2018,P049,0,27/07/2018,6.55,27/07/2018,7.13,Foraging,0.18,18,Observed
28/07/2018,P049,0,28/07/2018,8.13,28/07/2018,10.1,Foraging,1.57,117,Observed
30/07/2018,P049,0,30/07/2018,7.01,30/07/2018,9.44,Foraging,2.43,163,Observed
31/07/2018,P049,0,31/07/2018,7.14,31/07/2018,12.17,Not Foraging,5.03,303,Observed
01/08/2018,P049,0,01/08/2018,7.18,01/08/2018,9.51,Foraging,2.33,153,Observed
02/08/2018,P049,0,02/08/2018,6.46,02/08/2018,8.02,Foraging,1.16,76,Observed
02/08/2018,P049,0,02/08/2018,16.04,02/08/2018,17.2,Foraging,1.16,76,Observed
03/08/2018,P049,0,03/08/2018,10.44,03/08/2018,14.17,Foraging,3.33,213,Observed
03/08/2018,P049,0,03/08/2018,16.14,03/08/2018,16.38,Foraging,0.24,24,Observed
04/08/2018,P049,0,04/08/2018,14.42,04/08/2018,17.58,Foraging,3.16,196,Observed
04/08/2018,P049,0,04/08/2018,7.17,04/08/2018,10.06,Foraging,2.49,169,Observed
05/08/2018,P049,0,05/08/2018,6.57,05/08/2018,9.16,Foraging,2.19,139,Observed
06/08/2018,P049,0,06/08/2018,6.44,06/08/2018,9.06,Foraging,2.22,142,Observed
07/08/2018,P049,0,07/08/2018,6.46,07/08/2018,7.46,Foraging,1.0,60,Observed
08/08/2018,P049,0,08/08/2018,7.37,08/08/2018,8.52,Foraging,1.15,75,Observed
10/08/2018,P049,0,10/08/2018,6.46,10/08/2018,7.4,Foraging,0.54,54,Observed
14/08/2018,P049,0,14/08/2018,8.36,14/08/2018,13.42,Foraging,5.06,306,Observed
15/08/2018,P049,0,15/08/2018,8.52,15/08/2018,10.1,Foraging,1.18,78,Observed
21/08/2018,P049,0,21/08/2018,8.08,21/08/2018,8.27,Foraging,0.19,19,Observed
22/08/2018,P049,0,22/08/2018,13.06,22/08/2018,17.54,Foraging,4.48,288,Observed
24/08/2018,P049,0,24/08/2018,7.26,24/08/2018,7.49,Foraging,0.23,23,Observed
25/08/2018,P049,0,25/08/2018,7.59,25/08/2018,8.58,Foraging,0.59,59,Observed
26/08/2018,P049,0,26/08/2018,6.44,26/08/2018,7.07,Foraging,0.23,23,Observed
27/08/2018,P049,0,27/08/2018,8.19,27/08/2018,8.47,Foraging,0.28,28,Observed
28/08/2018,P049,0,28/08/2018,8.38,28/08/2018,12.49,Foraging,4.11,251,Observed
